,Tarih,TP_DK_USD_A_YTL
0,01-01-2022,
1,02-01-2022,
2,03-01-2022,13.329
3,04-01-2022,13.4221
4,05-01-2022,13.1873
5,06-01-2022,13.3687
6,07-01-2022,13.6352
7,08-01-2022,
8,09-01-2022,
9,10-01-2022,13.7526
10,11-01-2022,13.7195
11,12-01-2022,13.7314
12,13-01-2022,13.7209
13,14-01-2022,13.54
14,15-01-2022,
15,16-01-2022,
16,17-01-2022,13.5054
17,18-01-2022,13.4788
18,19-01-2022,13.5109
19,20-01-2022,13.5703
20,21-01-2022,13.4431
21,22-01-2022,
22,23-01-2022,
23,24-01-2022,13.402
24,25-01-2022,13.3846
25,26-01-2022,13.5
26,27-01-2022,13.5029
27,28-01-2022,13.5932
28,29-01-2022,
29,30-01-2022,
30,31-01-2022,13.6066
31,01-02-2022,13.4015
32,02-02-2022,13.367
33,03-02-2022,13.4287
34,04-02-2022,13.5543
35,05-02-2022,
36,06-02-2022,
37,07-02-2022,13.5336
38,08-02-2022,13.5429
39,09-02-2022,13.616
40,10-02-2022,13.5675
41,11-02-2022,13.5322
42,12-02-2022,
43,13-02-2022,
44,14-02-2022,13.4933
45,15-02-2022,13.5378
46,16-02-2022,13.6032
47,17-02-2022,13.6154
48,18-02-2022,13.6035
49,19-02-2022,
50,20-02-2022,
51,21-02-2022,13.6118
52,22-02-2022,13.6123
53,23-02-2022,13.7447
54,24-02-2022,13.7849
55,25-02-2022,14.2324
56,26-02-2022,
57,27-02-2022,
58,28-02-2022,14.0395
59,01-03-2022,13.8286
60,02-03-2022,13.8854
61,03-03-2022,14.0386
62,04-03-2022,14.112
63,05-03-2022,
64,06-03-2022,
65,07-03-2022,14.1766
66,08-03-2022,14.3012
67,09-03-2022,14.4728
68,10-03-2022,14.6061
69,11-03-2022,14.7435
70,12-03-2022,
71,13-03-2022,
72,14-03-2022,14.9042
73,15-03-2022,14.7624
74,16-03-2022,14.7503
75,17-03-2022,14.6758
76,18-03-2022,14.6697
77,19-03-2022,
78,20-03-2022,
79,21-03-2022,14.764
80,22-03-2022,14.816
81,23-03-2022,14.8041
82,24-03-2022,14.8063
83,25-03-2022,14.8234
84,26-03-2022,
85,27-03-2022,
86,28-03-2022,14.8068
87,29-03-2022,14.8221
88,30-03-2022,14.7933
89,31-03-2022,14.6458
90,01-04-2022,14.6371
91,02-04-2022,
92,03-04-2022,
93,04-04-2022,14.6609
94,05-04-2022,14.6862
95,06-04-2022,14.6955
96,07-04-2022,14.7176
97,08-04-2022,14.7289
98,09-04-2022,
99,10-04-2022,
100,11-04-2022,14.7213
101,12-04-2022,14.7162
102,13-04-2022,14.6633
103,14-04-2022,14.5604
104,15-04-2022,14.5933
105,16-04-2022,
106,17-04-2022,
107,18-04-2022,14.6181
108,19-04-2022,14.6252
109,20-04-2022,14.6343
